,Fragment_selected,Monoisotopic_mass_fragment,Fragment_collision,Monoisotopic_mass_collision
R[UNIMOD:1291]->R[UNIMOD:510],R[UNIMOD:1291],190.170071,R[UNIMOD:510],190.164227
R[UNIMOD:1291]->K[UNIMOD:1368],R[UNIMOD:1291],190.170071,K[UNIMOD:1368],190.15883499999998
Y[UNIMOD:392]->Y[UNIMOD:1875],Y[UNIMOD:392],193.037509,Y[UNIMOD:1875],193.073895
Y[UNIMOD:392]->H[UNIMOD:206],Y[UNIMOD:392],193.037509,H[UNIMOD:206],193.085125
Y[UNIMOD:1875]->H[UNIMOD:206],Y[UNIMOD:1875],193.073895,H[UNIMOD:206],193.085125
Y[UNIMOD:1875]->C[UNIMOD:212],Y[UNIMOD:1875],193.073895,C[UNIMOD:212],193.09333800000002
Y[UNIMOD:1875]->Y[UNIMOD:392],Y[UNIMOD:1875],193.073895,Y[UNIMOD:392],193.037509
H[UNIMOD:206]->C[UNIMOD:212],H[UNIMOD:206],193.085125,C[UNIMOD:212],193.09333800000002
H[UNIMOD:206]->Y[UNIMOD:1875],H[UNIMOD:206],193.085125,Y[UNIMOD:1875],193.073895
H[UNIMOD:206]->Y[UNIMOD:392],H[UNIMOD:206],193.085125,Y[UNIMOD:392],193.037509
C[UNIMOD:212]->H[UNIMOD:206],C[UNIMOD:212],193.09333800000002,H[UNIMOD:206],193.085125
C[UNIMOD:212]->Y[UNIMOD:1875],C[UNIMOD:212],193.09333800000002,Y[UNIMOD:1875],193.073895
T[UNIMOD:2008]->S[UNIMOD:1365],T[UNIMOD:2008],194.04564499999998,S[UNIMOD:1365],194.045645
S[UNIMOD:1365]->T[UNIMOD:2008],S[UNIMOD:1365],194.045645,T[UNIMOD:2008],194.04564499999998
D[UNIMOD:21]->S[UNIMOD:1868],D[UNIMOD:21],194.993271,S[UNIMOD:1868],195.01190300000002
